,group_10yr,population,sex,year,zip
10339,70 to 79,3172,Female,2035,92078
10340,80+,2825,Female,2035,92078
10341,Total Population,31880,Female,2035,92078
10342,Under 10,4334,Male,2035,92078
10343,10 to 19,3627,Male,2035,92078
10344,20 to 29,3286,Male,2035,92078
10345,30 to 39,3889,Male,2035,92078
10346,40 to 49,3897,Male,2035,92078
10347,50 to 59,2697,Male,2035,92078
10348,60 to 69,2287,Male,2035,92078
10349,70 to 79,2442,Male,2035,92078
10350,80+,1884,Male,2035,92078
10351,Total Population,28343,Male,2035,92078
10352,Total Population,60223,Total,2035,92078
10353,Under 10,4496,Female,2040,92078
10354,10 to 19,4180,Female,2040,92078
10355,20 to 29,4016,Female,2040,92078
10356,30 to 39,4196,Female,2040,92078
10357,40 to 49,4323,Female,2040,92078
10358,50 to 59,3484,Female,2040,92078
10359,60 to 69,3043,Female,2040,92078
10360,70 to 79,3021,Female,2040,92078
10361,80+,3463,Female,2040,92078
10362,Total Population,34222,Female,2040,92078
10363,Under 10,4560,Male,2040,92078
10364,10 to 19,3852,Male,2040,92078
10365,20 to 29,3693,Male,2040,92078
10366,30 to 39,4054,Male,2040,92078
10367,40 to 49,4210,Male,2040,92078
10368,50 to 59,2976,Male,2040,92078
10369,60 to 69,2376,Male,2040,92078
10370,70 to 79,2349,Male,2040,92078
10371,80+,2190,Male,2040,92078
10372,Total Population,30260,Male,2040,92078
10373,Total Population,64482,Total,2040,92078
10374,Under 10,4608,Female,2045,92078
10375,10 to 19,4109,Female,2045,92078
10376,20 to 29,4045,Female,2045,92078
10377,30 to 39,4315,Female,2045,92078
10378,40 to 49,4034,Female,2045,92078
10379,50 to 59,3591,Female,2045,92078
10380,60 to 69,3208,Female,2045,92078
10381,70 to 79,2797,Female,2045,92078
10382,80+,3617,Female,2045,92078
10383,Total Population,34324,Female,2045,92078
10384,Under 10,4611,Male,2045,92078
10385,10 to 19,3825,Male,2045,92078
10386,20 to 29,3686,Male,2045,92078
10387,30 to 39,4038,Male,2045,92078
10388,40 to 49,3964,Male,2045,92078
10389,50 to 59,3094,Male,2045,92078
10390,60 to 69,2462,Male,2045,92078
10391,70 to 79,2154,Male,2045,92078
10392,80+,2223,Male,2045,92078
10393,Total Population,30057,Male,2045,92078
10394,Total Population,64381,Total,2045,92078
10395,Under 10,4738,Female,2050,92078
10396,10 to 19,4147,Female,2050,92078
10397,20 to 29,3948,Female,2050,92078
10398,30 to 39,4559,Female,2050,92078
10399,40 to 49,3951,Female,2050,92078
10400,50 to 59,3506,Female,2050,92078
10401,60 to 69,3376,Female,2050,92078
10402,70 to 79,2761,Female,2050,92078
10403,80+,3487,Female,2050,92078
10404,Total Population,34473,Female,2050,92078
10405,Under 10,4689,Male,2050,92078
10406,10 to 19,3907,Male,2050,92078
10407,20 to 29,3658,Male,2050,92078
10408,30 to 39,4085,Male,2050,92078
10409,40 to 49,3857,Male,2050,92078
10410,50 to 59,3178,Male,2050,92078
10411,60 to 69,2546,Male,2050,92078
10412,70 to 79,2079,Male,2050,92078
10413,80+,2096,Male,2050,92078
10414,Total Population,30095,Male,2050,92078
10415,Total Population,64568,Total,2050,92078
10416,Under 10,1613,Female,2012,92081
10417,10 to 19,1560,Female,2012,92081
10418,20 to 29,2151,Female,2012,92081
10419,30 to 39,1827,Female,2012,92081
10420,40 to 49,1936,Female,2012,92081
10421,50 to 59,1936,Female,2012,92081
10422,60 to 69,1269,Female,2012,92081
10423,70 to 79,800,Female,2012,92081
10424,80+,823,Female,2012,92081
10425,Total Population,13915,Female,2012,92081
10426,Under 10,1692,Male,2012,92081
10427,10 to 19,1700,Male,2012,92081
10428,20 to 29,2477,Male,2012,92081
10429,30 to 39,2020,Male,2012,92081
10430,40 to 49,1932,Male,2012,92081
10431,50 to 59,1837,Male,2012,92081
10432,60 to 69,1077,Male,2012,92081
10433,70 to 79,620,Male,2012,92081
10434,80+,564,Male,2012,92081
10435,Total Population,13919,Male,2012,92081
10436,Total Population,27834,Total,2012,92081
10437,Under 10,1922,Female,2020,92081
10438,10 to 19,1370,Female,2020,92081
10439,20 to 29,2130,Female,2020,92081
10440,30 to 39,2036,Female,2020,92081
10441,40 to 49,1733,Female,2020,92081
10442,50 to 59,1883,Female,2020,92081
10443,60 to 69,1520,Female,2020,92081
10444,70 to 79,1172,Female,2020,92081
10445,80+,808,Female,2020,92081
10446,Total Population,14574,Female,2020,92081
10447,Under 10,1932,Male,2020,92081
10448,10 to 19,1375,Male,2020,92081
10449,20 to 29,2557,Male,2020,92081
10450,30 to 39,2175,Male,2020,92081
10451,40 to 49,1682,Male,2020,92081
10452,50 to 59,1715,Male,2020,92081
10453,60 to 69,1387,Male,2020,92081
10454,70 to 79,1003,Male,2020,92081
10455,80+,580,Male,2020,92081
10456,Total Population,14406,Male,2020,92081
10457,Total Population,28980,Total,2020,92081
10458,Under 10,1950,Female,2025,92081
10459,10 to 19,1433,Female,2025,92081
10460,20 to 29,2037,Female,2025,92081
10461,30 to 39,2063,Female,2025,92081
10462,40 to 49,1936,Female,2025,92081
10463,50 to 59,1733,Female,2025,92081
10464,60 to 69,1579,Female,2025,92081
10465,70 to 79,1450,Female,2025,92081
10466,80+,914,Female,2025,92081
10467,Total Population,15095,Female,2025,92081
10468,Under 10,1970,Male,2025,92081
10469,10 to 19,1441,Male,2025,92081
10470,20 to 29,2427,Male,2025,92081
10471,30 to 39,2274,Male,2025,92081
10472,40 to 49,1766,Male,2025,92081
10473,50 to 59,1544,Male,2025,92081
10474,60 to 69,1462,Male,2025,92081
10475,70 to 79,1307,Male,2025,92081
10476,80+,679,Male,2025,92081
10477,Total Population,14870,Male,2025,92081
10478,Total Population,29965,Total,2025,92081
10479,Under 10,1871,Female,2030,92081
10480,10 to 19,1572,Female,2030,92081
10481,20 to 29,2049,Female,2030,92081
10482,30 to 39,1959,Female,2030,92081
10483,40 to 49,2033,Female,2030,92081
10484,50 to 59,1721,Female,2030,92081
10485,60 to 69,1483,Female,2030,92081
10486,70 to 79,1582,Female,2030,92081
10487,80+,1170,Female,2030,92081
10488,Total Population,15440,Female,2030,92081
10489,Under 10,1929,Male,2030,92081
10490,10 to 19,1506,Male,2030,92081
10491,20 to 29,2315,Male,2030,92081
10492,30 to 39,2334,Male,2030,92081
10493,40 to 49,1814,Male,2030,92081
10494,50 to 59,1534,Male,2030,92081
10495,60 to 69,1364,Male,2030,92081
10496,70 to 79,1433,Male,2030,92081
10497,80+,871,Male,2030,92081
10498,Total Population,15100,Male,2030,92081
10499,Total Population,30540,Total,2030,92081
10500,Under 10,1845,Female,2035,92081
10501,10 to 19,1634,Female,2035,92081
10502,20 to 29,2158,Female,2035,92081
10503,30 to 39,1804,Female,2035,92081
10504,40 to 49,2105,Female,2035,92081
10505,50 to 59,1843,Female,2035,92081
10506,60 to 69,1402,Female,2035,92081
10507,70 to 79,1621,Female,2035,92081
10508,80+,1418,Female,2035,92081
10509,Total Population,15830,Female,2035,92081
10510,Under 10,1934,Male,2035,92081
10511,10 to 19,1422,Male,2035,92081
10512,20 to 29,2343,Male,2035,92081
10513,30 to 39,2212,Male,2035,92081
10514,40 to 49,1949,Male,2035,92081
10515,50 to 59,1579,Male,2035,92081
10516,60 to 69,1271,Male,2035,92081
10517,70 to 79,1475,Male,2035,92081
10518,80+,1073,Male,2035,92081
10519,Total Population,15258,Male,2035,92081
10520,Total Population,31088,Total,2035,92081
10521,Under 10,1842,Female,2040,92081
10522,10 to 19,1554,Female,2040,92081
10523,20 to 29,2293,Female,2040,92081
10524,30 to 39,1812,Female,2040,92081
10525,40 to 49,2048,Female,2040,92081
10526,50 to 59,1967,Female,2040,92081
10527,60 to 69,1412,Female,2040,92081
10528,70 to 79,1486,Female,2040,92081
10529,80+,1634,Female,2040,92081
10530,Total Population,16048,Female,2040,92081
10531,Under 10,1918,Male,2040,92081
10532,10 to 19,1432,Male,2040,92081
10533,20 to 29,2321,Male,2040,92081
10534,30 to 39,2108,Male,2040,92081
10535,40 to 49,2001,Male,2040,92081
10536,50 to 59,1673,Male,2040,92081
10537,60 to 69,1201,Male,2040,92081
10538,70 to 79,1378,Male,2040,92081
10539,80+,1245,Male,2040,92081
10540,Total Population,15277,Male,2040,92081
10541,Total Population,31325,Total,2040,92081
10542,Under 10,1867,Female,2045,92081
10543,10 to 19,1511,Female,2045,92081
10544,20 to 29,2235,Female,2045,92081
10545,30 to 39,1901,Female,2045,92081
10546,40 to 49,1902,Female,2045,92081
10547,50 to 59,2022,Female,2045,92081
10548,60 to 69,1519,Female,2045,92081
10549,70 to 79,1338,Female,2045,92081
10550,80+,1730,Female,2045,92081
10551,Total Population,16025,Female,2045,92081
10552,Under 10,1942,Male,2045,92081
10553,10 to 19,1426,Male,2045,92081
10554,20 to 29,2284,Male,2045,92081
10555,30 to 39,2106,Male,2045,92081
10556,40 to 49,1901,Male,2045,92081
10557,50 to 59,1755,Male,2045,92081
10558,60 to 69,1192,Male,2045,92081
10559,70 to 79,1275,Male,2045,92081
10560,80+,1317,Male,2045,92081
10561,Total Population,15198,Male,2045,92081
10562,Total Population,31223,Total,2045,92081
10563,Under 10,1920,Female,2050,92081
10564,10 to 19,1507,Female,2050,92081
10565,20 to 29,2096,Female,2050,92081
10566,30 to 39,2036,Female,2050,92081
10567,40 to 49,1906,Female,2050,92081
10568,50 to 59,1958,Female,2050,92081
10569,60 to 69,1570,Female,2050,92081
10570,70 to 79,1308,Female,2050,92081
10571,80+,1665,Female,2050,92081
10572,Total Population,15966,Female,2050,92081
10573,Under 10,1996,Male,2050,92081
10574,10 to 19,1458,Male,2050,92081
10575,20 to 29,2263,Male,2050,92081
10576,30 to 39,2115,Male,2050,92081
10577,40 to 49,1849,Male,2050,92081
10578,50 to 59,1762,Male,2050,92081
10579,60 to 69,1232,Male,2050,92081
10580,70 to 79,1273,Male,2050,92081
10581,80+,1278,Male,2050,92081
10582,Total Population,15226,Male,2050,92081
10583,Total Population,31192,Total,2050,92081
10584,Under 10,1069,Female,2012,92082
10585,10 to 19,1281,Female,2012,92082
10586,20 to 29,1008,Female,2012,92082
10587,30 to 39,842,Female,2012,92082
10588,40 to 49,1168,Female,2012,92082
10589,50 to 59,1487,Female,2012,92082
10590,60 to 69,1130,Female,2012,92082
10591,70 to 79,602,Female,2012,92082
10592,80+,373,Female,2012,92082
10593,Total Population,8960,Female,2012,92082
10594,Under 10,1111,Male,2012,92082
10595,10 to 19,1383,Male,2012,92082
10596,20 to 29,1046,Male,2012,92082
10597,30 to 39,849,Male,2012,92082
10598,40 to 49,1112,Male,2012,92082
10599,50 to 59,1510,Male,2012,92082
10600,60 to 69,1079,Male,2012,92082
10601,70 to 79,603,Male,2012,92082
10602,80+,387,Male,2012,92082
10603,Total Population,9080,Male,2012,92082
10604,Total Population,18040,Total,2012,92082
10605,Under 10,1371,Female,2020,92082
10606,10 to 19,1223,Female,2020,92082
10607,20 to 29,1094,Female,2020,92082
10608,30 to 39,976,Female,2020,92082
10609,40 to 49,1227,Female,2020,92082
10610,50 to 59,1695,Female,2020,92082
10611,60 to 69,1703,Female,2020,92082
10612,70 to 79,1031,Female,2020,92082
10613,80+,463,Female,2020,92082
10614,Total Population,10783,Female,2020,92082
10615,Under 10,1309,Male,2020,92082
10616,10 to 19,1213,Male,2020,92082
10617,20 to 29,1168,Male,2020,92082
10618,30 to 39,977,Male,2020,92082
10619,40 to 49,1135,Male,2020,92082
10620,50 to 59,1583,Male,2020,92082
10621,60 to 69,1703,Male,2020,92082
10622,70 to 79,1112,Male,2020,92082
10623,80+,470,Male,2020,92082
10624,Total Population,10670,Male,2020,92082
10625,Total Population,21453,Total,2020,92082
10626,Under 10,1377,Female,2025,92082
10627,10 to 19,1272,Female,2025,92082
10628,20 to 29,1031,Female,2025,92082
10629,30 to 39,1028,Female,2025,92082
10630,40 to 49,1371,Female,2025,92082
10631,50 to 59,1560,Female,2025,92082
10632,60 to 69,1818,Female,2025,92082
10633,70 to 79,1284,Female,2025,92082
10634,80+,491,Female,2025,92082
10635,Total Population,11232,Female,2025,92082
10636,Under 10,1298,Male,2025,92082
10637,10 to 19,1237,Male,2025,92082
10638,20 to 29,1080,Male,2025,92082
10639,30 to 39,1024,Male,2025,92082
10640,40 to 49,1175,Male,2025,92082
10641,50 to 59,1447,Male,2025,92082
10642,60 to 69,1777,Male,2025,92082
10643,70 to 79,1396,Male,2025,92082
10644,80+,546,Male,2025,92082
10645,Total Population,10980,Male,2025,92082
10646,Total Population,22212,Total,2025,92082
10647,Under 10,1363,Female,2030,92082
10648,10 to 19,1393,Female,2030,92082
10649,20 to 29,1051,Female,2030,92082
10650,30 to 39,1043,Female,2030,92082
10651,40 to 49,1535,Female,2030,92082
10652,50 to 59,1576,Female,2030,92082
10653,60 to 69,1719,Female,2030,92082
10654,70 to 79,1470,Female,2030,92082
10655,80+,651,Female,2030,92082
10656,Total Population,11801,Female,2030,92082
10657,Under 10,1285,Male,2030,92082
10658,10 to 19,1266,Male,2030,92082
10659,20 to 29,1049,Male,2030,92082
10660,30 to 39,1067,Male,2030,92082
10661,40 to 49,1253,Male,2030,92082
10662,50 to 59,1374,Male,2030,92082
10663,60 to 69,1665,Male,2030,92082
10664,70 to 79,1630,Male,2030,92082
10665,80+,704,Male,2030,92082
10666,Total Population,11293,Male,2030,92082
10667,Total Population,23094,Total,2030,92082
10668,Under 10,1372,Female,2035,92082
10669,10 to 19,1463,Female,2035,92082
10670,20 to 29,1166,Female,2035,92082
10671,30 to 39,972,Female,2035,92082
10672,40 to 49,1619,Female,2035,92082
10673,50 to 59,1774,Female,2035,92082
10674,60 to 69,1625,Female,2035,92082
10675,70 to 79,1518,Female,2035,92082
10676,80+,881,Female,2035,92082
10677,Total Population,12390,Female,2035,92082
10678,Under 10,1333,Male,2035,92082
10679,10 to 19,1331,Male,2035,92082
10680,20 to 29,1070,Male,2035,92082
10681,30 to 39,1002,Male,2035,92082
10682,40 to 49,1304,Male,2035,92082
10683,50 to 59,1543,Male,2035,92082
10684,60 to 69,1542,Male,2035,92082
10685,70 to 79,1738,Male,2035,92082
10686,80+,876,Male,2035,92082
10687,Total Population,11739,Male,2035,92082
10688,Total Population,24129,Total,2035,92082
10689,Under 10,1359,Female,2040,92082
10690,10 to 19,1469,Female,2040,92082
10691,20 to 29,1235,Female,2040,92082
10692,30 to 39,959,Female,2040,92082
10693,40 to 49,1603,Female,2040,92082
10694,50 to 59,1967,Female,2040,92082
10695,60 to 69,1673,Female,2040,92082
10696,70 to 79,1399,Female,2040,92082
10697,80+,1098,Female,2040,92082
10698,Total Population,12762,Female,2040,92082
10699,Under 10,1306,Male,2040,92082
10700,10 to 19,1308,Male,2040,92082
10701,20 to 29,1051,Male,2040,92082
10702,30 to 39,977,Male,2040,92082
10703,40 to 49,1373,Male,2040,92082
10704,50 to 59,1609,Male,2040,92082
10705,60 to 69,1537,Male,2040,92082
10706,70 to 79,1580,Male,2040,92082
10707,80+,1054,Male,2040,92082
10708,Total Population,11795,Male,2040,92082
10709,Total Population,24557,Total,2040,92082
10710,Under 10,1535,Female,2045,92082
10711,10 to 19,1468,Female,2045,92082
10712,20 to 29,1270,Female,2045,92082
10713,30 to 39,1110,Female,2045,92082
10714,40 to 49,1573,Female,2045,92082
10715,50 to 59,2087,Female,2045,92082
10716,60 to 69,1964,Female,2045,92082
10717,70 to 79,1375,Female,2045,92082
10718,80+,1266,Female,2045,92082
10719,Total Population,13648,Female,2045,92082
10720,Under 10,1402,Male,2045,92082
10721,10 to 19,1306,Male,2045,92082
10722,20 to 29,1116,Male,2045,92082
10723,30 to 39,1034,Male,2045,92082
10724,40 to 49,1348,Male,2045,92082
10725,50 to 59,1790,Male,2045,92082
10726,60 to 69,1744,Male,2045,92082
10727,70 to 79,1526,Male,2045,92082
10728,80+,1195,Male,2045,92082
10729,Total Population,12461,Male,2045,92082
10730,Total Population,26109,Total,2045,92082
10731,Under 10,1565,Female,2050,92082
10732,10 to 19,1458,Female,2050,92082
10733,20 to 29,1164,Female,2050,92082
10734,30 to 39,1210,Female,2050,92082
10735,40 to 49,1580,Female,2050,92082
10736,50 to 59,1977,Female,2050,92082
10737,60 to 69,2090,Female,2050,92082
10738,70 to 79,1408,Female,2050,92082
10739,80+,1241,Female,2050,92082
10740,Total Population,13693,Female,2050,92082
10741,Under 10,1415,Male,2050,92082
10742,10 to 19,1316,Male,2050,92082
10743,20 to 29,1079,Male,2050,92082
10744,30 to 39,1061,Male,2050,92082
10745,40 to 49,1242,Male,2050,92082
10746,50 to 59,1794,Male,2050,92082
10747,60 to 69,1823,Male,2050,92082
10748,70 to 79,1534,Male,2050,92082
10749,80+,1176,Male,2050,92082
10750,Total Population,12440,Male,2050,92082
10751,Total Population,26133,Total,2050,92082
10752,Under 10,2791,Female,2012,92083
10753,10 to 19,2756,Female,2012,92083
10754,20 to 29,3248,Female,2012,92083
10755,30 to 39,2578,Female,2012,92083
10756,40 to 49,2516,Female,2012,92083
10757,50 to 59,2220,Female,2012,92083
10758,60 to 69,1101,Female,2012,92083
10759,70 to 79,624,Female,2012,92083
10760,80+,557,Female,2012,92083
10761,Total Population,18391,Female,2012,92083
10762,Under 10,3023,Male,2012,92083
10763,10 to 19,2947,Male,2012,92083
10764,20 to 29,3537,Male,2012,92083
10765,30 to 39,2758,Male,2012,92083
10766,40 to 49,2596,Male,2012,92083
10767,50 to 59,2212,Male,2012,92083
10768,60 to 69,1153,Male,2012,92083
10769,70 to 79,547,Male,2012,92083
10770,80+,347,Male,2012,92083
10771,Total Population,19120,Male,2012,92083
10772,Total Population,37511,Total,2012,92083
10773,Under 10,3238,Female,2020,92083
10774,10 to 19,2523,Female,2020,92083
10775,20 to 29,3129,Female,2020,92083
10776,30 to 39,2679,Female,2020,92083
10777,40 to 49,2300,Female,2020,92083
10778,50 to 59,2202,Female,2020,92083
10779,60 to 69,1474,Female,2020,92083
10780,70 to 79,836,Female,2020,92083
10781,80+,585,Female,2020,92083
10782,Total Population,18966,Female,2020,92083
10783,Under 10,3351,Male,2020,92083
10784,10 to 19,2640,Male,2020,92083
10785,20 to 29,3740,Male,2020,92083
10786,30 to 39,2796,Male,2020,92083
10787,40 to 49,2367,Male,2020,92083
10788,50 to 59,2290,Male,2020,92083
10789,60 to 69,1524,Male,2020,92083
10790,70 to 79,729,Male,2020,92083
10791,80+,329,Male,2020,92083
10792,Total Population,19766,Male,2020,92083
10793,Total Population,38732,Total,2020,92083
10794,Under 10,3825,Female,2025,92083
10795,10 to 19,2785,Female,2025,92083
10796,20 to 29,3263,Female,2025,92083
10797,30 to 39,3213,Female,2025,92083
10798,40 to 49,2737,Female,2025,92083
10799,50 to 59,2318,Female,2025,92083
10800,60 to 69,1818,Female,2025,92083
10801,70 to 79,1151,Female,2025,92083
10802,80+,656,Female,2025,92083
10803,Total Population,21766,Female,2025,92083
10804,Under 10,3807,Male,2025,92083
10805,10 to 19,2872,Male,2025,92083
10806,20 to 29,3950,Male,2025,92083
10807,30 to 39,3426,Male,2025,92083
10808,40 to 49,2783,Male,2025,92083
10809,50 to 59,2373,Male,2025,92083
10810,60 to 69,1822,Male,2025,92083
10811,70 to 79,1056,Male,2025,92083
10812,80+,441,Male,2025,92083
10813,Total Population,22530,Male,2025,92083
10814,Total Population,44296,Total,2025,92083
10815,Under 10,4042,Female,2030,92083
10816,10 to 19,2944,Female,2030,92083
10817,20 to 29,3302,Female,2030,92083
10818,30 to 39,3449,Female,2030,92083
10819,40 to 49,3021,Female,2030,92083
10820,50 to 59,2361,Female,2030,92083
10821,60 to 69,1837,Female,2030,92083
10822,70 to 79,1335,Female,2030,92083
10823,80+,838,Female,2030,92083
10824,Total Population,23129,Female,2030,92083
10825,Under 10,3899,Male,2030,92083
10826,10 to 19,3031,Male,2030,92083
10827,20 to 29,3947,Male,2030,92083
10828,30 to 39,3801,Male,2030,92083
10829,40 to 49,3034,Male,2030,92083
10830,50 to 59,2357,Male,2030,92083
10831,60 to 69,1823,Male,2030,92083
10832,70 to 79,1247,Male,2030,92083
10833,80+,607,Male,2030,92083
10834,Total Population,23746,Male,2030,92083
10835,Total Population,46875,Total,2030,92083
10836,Under 10,4113,Female,2035,92083
10837,10 to 19,3146,Female,2035,92083
10838,20 to 29,3438,Female,2035,92083
10839,30 to 39,3451,Female,2035,92083
10840,40 to 49,3386,Female,2035,92083
10841,50 to 59,2563,Female,2035,92083
10842,60 to 69,1767,Female,2035,92083
10843,70 to 79,1419,Female,2035,92083
10844,80+,1082,Female,2035,92083
10845,Total Population,24365,Female,2035,92083
10846,Under 10,3961,Male,2035,92083
10847,10 to 19,3238,Male,2035,92083
10848,20 to 29,4008,Male,2035,92083
10849,30 to 39,3765,Male,2035,92083
10850,40 to 49,3341,Male,2035,92083
10851,50 to 59,2570,Male,2035,92083
10852,60 to 69,1766,Male,2035,92083
10853,70 to 79,1487,Male,2035,92083
10854,80+,730,Male,2035,92083
10855,Total Population,24866,Male,2035,92083
